table;index;english;translation
cavern_descriptors;48;Huge;Enorme
cavern_descriptors;49;Icy;Glacial
cavern_descriptors;50;Interesting;Interesante
cavern_descriptors;51;Large;Grande
cavern_descriptors;52;Ledge;Repisa
cavern_descriptors;53;Lethal;Letal
cavern_descriptors;54;Light;Luz
cavern_descriptors;55;Loud;Alto
cavern_descriptors;56;Magnificent;Magnífico
cavern_descriptors;57;Message;Mensaje
cavern_descriptors;58;Messy;Desordenado
cavern_descriptors;59;Minerals;Minerales
cavern_descriptors;60;Misfortune;Desgracia
cavern_descriptors;61;Mist;Neblina
cavern_descriptors;62;Mysterious;Misterioso
cavern_descriptors;63;Natural;Natural
cavern_descriptors;64;Nature;Naturaleza
cavern_descriptors;65;Normal;Normal
cavern_descriptors;66;Occupied;Ocupado
cavern_descriptors;67;Odd;Extraño
cavern_descriptors;68;Open;Abierto
cavern_descriptors;69;Path;Camino
cavern_descriptors;70;Plants;Plantas
cavern_descriptors;71;Pool;Piscina
cavern_descriptors;72;Quiet;Tranquilo
cavern_descriptors;73;Reassuring;tranquilizador
cavern_descriptors;74;Remarkable;Notable
cavern_descriptors;75;Riches;Riqueza
cavern_descriptors;76;River;Río
cavern_descriptors;77;Rock;Roca
cavern_descriptors;78;Rough;Bruto
cavern_descriptors;79;Scary;Aterrador
cavern_descriptors;80;Simple;Simple
cavern_descriptors;81;Slippery;Resbaladizo
cavern_descriptors;82;Slope;Pendiente
cavern_descriptors;83;Small;Pequeño
cavern_descriptors;84;Smelly;Maloliente
cavern_descriptors;85;Smooth;Liso
cavern_descriptors;86;Sounds;sonidos
cavern_descriptors;87;Stalactites;estalactitas
cavern_descriptors;88;Strange;Extraño
cavern_descriptors;89;Threatening;Amenazante
cavern_descriptors;90;Tight;Ajustado
cavern_descriptors;91;Tranquil;Tranquilo
cavern_descriptors;92;Treasure;Tesoro
cavern_descriptors;93;Unnatural;Antinatural
cavern_descriptors;94;Unstable;Inestable
cavern_descriptors;95;Untouched;intacto
cavern_descriptors;96;Warm;Cálido
cavern_descriptors;97;Waste;Desperdiciar
cavern_descriptors;98;Water;Agua
cavern_descriptors;99;Windy;Ventoso
characters;name;Characters;Caracteres
characters;0;Accompanied;Acompañado
characters;1;Active;Activo
characters;2;Aggressive;Agresivo
characters;3;Ambush;Emboscada
characters;4;Animal;Animal
characters;5;Anxious;Ansioso
characters;6;Armed;Armado
characters;7;Beautiful;Hermoso
characters;8;Bold;Atrevido
characters;9;Busy;Ocupado
characters;10;Calm;Calma
characters;11;Careless;Descuidado
characters;12;Casual;Casual
characters;13;Cautious;Precavido
characters;14;Classy;De buen tono
characters;15;Colorful;Vistoso
characters;16;Combative;Combativo
characters;17;Crazy;Loco
characters;18;Creepy;Espeluznante
characters;19;Curious;Curioso
characters;20;Dangerous;Peligroso
characters;21;Deceitful;Engañoso
characters;22;Defeated;Derrotado
characters;23;Defiant;Desafiante
characters;24;Delightful;Encantador
characters;25;Emotional;Emocional
characters;26;Energetic;Energético
characters;27;Equipped;Equipado
characters;28;Excited;Entusiasmado
characters;29;Expected;Esperado
characters;30;Familiar;Familiar
characters;31;Fast;Rápido
characters;32;Feeble;Débil
characters;33;Feminine;Femenino
characters;34;Ferocious;Feroz
characters;35;Foe;Enemigo
characters;36;Foolish;Necio
characters;37;Fortunate;Afortunado
characters;38;Fragrant;Fragante
characters;39;Frantic;Frenético
characters;40;Friend;Amigo
characters;41;Frightened;Atemorizado
characters;42;Frightening;Alarmante
characters;43;Generous;Generoso
characters;44;Glad;Contento
characters;45;Happy;Feliz
characters;46;Harmful;Dañino
characters;47;Helpful;Útil
characters;48;Helpless;Indefenso
characters;49;Hurt;Herir
characters;50;Important;Importante
characters;51;Inactive;Inactivo
characters;52;Influential;Influyente
characters;53;Innocent;Inocente
characters;54;Intense;Intenso
characters;55;Knowledgeable;Experto
characters;56;Large;Grande
characters;57;Lonely;Solitario
characters;58;Loud;Alto
characters;59;Loyal;Leal
characters;60;Masculine;Masculino
characters;61;Mighty;Poderoso
characters;62;Miserable;Miserable
characters;63;Multiple;Múltiple
characters;64;Mundane;Mundano
characters;65;Mysterious;Misterioso
characters;66;Natural;Natural
characters;67;Odd;Extraño
characters;68;Official;Oficial
characters;69;Old;Viejo
characters;70;Passive;Pasivo
characters;71;Peaceful;Pacífico
characters;72;Playful;Juguetón
characters;73;Powerful;Poderoso
characters;74;Professional;Profesional
characters;75;Protected;Protegido
characters;76;Protecting;Proteger
characters;77;Questioning;Interrogatorio
characters;78;Quiet;Tranquilo
characters;79;Reassuring;tranquilizador
characters;80;Resourceful;Ingenioso
characters;81;Seeking;Buscando
characters;82;Skilled;Experto
characters;83;Slow;Lento
characters;84;Small;Pequeño
characters;85;Stealthy;Cauteloso
characters;86;Strange;Extraño
characters;87;Strong;Fuerte
characters;88;Tall;Alto
characters;89;Thieving;Robar
characters;90;Threatening;Amenazante
characters;91;Triumphant;Triunfante
characters;92;Unexpected;Inesperado
characters;93;Unnatural;Antinatural
characters;94;Unusual;Inusual
characters;95;Violent;Violento
characters;96;Vocal;Vocal
characters;97;Weak;Débil
characters;98;Wild;Salvaje
characters;99;Young;Joven
character_actions_combat;name;Character actions, Combat;Acciones de personajes, Combate
character_actions_combat;0;Abandon;Abandonar
character_actions_combat;1;Abuse;Abuso
character_actions_combat;2;Aggressive;Agresivo
character_actions_combat;3;Agree;Aceptar
character_actions_combat;4;Ally;Aliado
character_actions_combat;5;Ambush;Emboscada
character_actions_combat;6;Amuse;Entretener
character_actions_combat;7;Anger;Enojo
character_actions_combat;8;Antagonize;Enemistarse
character_actions_combat;9;Anxious;Ansioso
character_actions_combat;10;Assist;Asistir
character_actions_combat;11;Attack;Ataque
character_actions_combat;12;Betray;Traicionar
character_actions_combat;13;Block;Bloquear
character_actions_combat;14;Bold;Atrevido
character_actions_combat;15;Brave;Corajudo
character_actions_combat;16;Break;Romper
character_actions_combat;17;Calm;Calma
character_actions_combat;18;Careless;Descuidado
character_actions_combat;19;Carry;Llevar
character_actions_combat;20;Cautious;Precavido
character_actions_combat;21;Celebrate;Celebrar
character_actions_combat;22;Change;Cambiar
character_actions_combat;23;Charge;Cargar
character_actions_combat;24;Communicate;Comunicar
character_actions_combat;25;Compete;Competir
character_actions_combat;26;Control;Control
character_actions_combat;27;Crazy;Loco
character_actions_combat;28;Cruel;Cruel
character_actions_combat;29;Damage;Daño
character_actions_combat;30;Deceive;Engañar
character_actions_combat;31;Defend;Defender
character_actions_combat;32;Defiant;Desafiante
character_actions_combat;33;Delay;Demora
character_actions_combat;34;Disrupt;Interrumpir
character_actions_combat;35;Divide;Dividir
character_actions_combat;36;Dominate;Dominar
character_actions_combat;37;Energetic;Energético
character_actions_combat;38;Enthusiastic;Entusiasta
character_actions_combat;39;Expectation;Expectativa
character_actions_combat;40;Fearful;Temeroso
character_actions_combat;41;Ferocious;Feroz
character_actions_combat;42;Fierce;Feroz
character_actions_combat;43;Fight;Luchar
character_actions_combat;44;Flee;Huir
character_actions_combat;45;Frantic;Frenético
character_actions_combat;46;Free;Gratis
character_actions_combat;47;Frightening;Alarmante
character_actions_combat;48;Harm;Dañar
character_actions_combat;49;Harsh;Duro
character_actions_combat;50;Hasty;Apresurado
character_actions_combat;51;Hide;Esconder
character_actions_combat;52;Imitate;Imitar
character_actions_combat;53;Imprison;Encarcelar
character_actions_combat;54;Kill;Matar
character_actions_combat;55;Lead;Dirigir
character_actions_combat;56;Lethal;Letal
character_actions_combat;57;Liberty;Libertad
character_actions_combat;58;Lie;Mentir
character_actions_combat;59;Loud;Alto
character_actions_combat;60;Loyal;Leal
character_actions_combat;61;Magic;magia
character_actions_combat;62;Mechanical;Mecánico
character_actions_combat;63;Mighty;Poderoso
character_actions_combat;64;Military;Militar
character_actions_combat;65;Mock;Imitar
character_actions_combat;66;Move;Mover
character_actions_combat;67;Mysterious;Misterioso
character_actions_combat;68;Normal;Normal
character_actions_combat;69;Odd;Extraño
character_actions_combat;70;Open;Abierto
character_actions_combat;71;Oppose;Oponerse a
character_actions_combat;72;Pain;Dolor
character_actions_combat;73;Path;Camino
character_actions_combat;74;Prepare;Preparar
character_actions_combat;75;Punish;Castigar
character_actions_combat;76;Pursue;Buscar
character_actions_combat;77;Rough;Bruto
character_actions_combat;78;Rude;Brusco
character_actions_combat;79;Ruin;Ruina
character_actions_combat;80;Ruthless;Implacable
character_actions_combat;81;Simple;Simple
character_actions_combat;82;Slow;Lento
character_actions_combat;83;Spy;Espiar
character_actions_combat;84;Stop;Detener
character_actions_combat;85;Strange;Extraño
character_actions_combat;86;Struggle;Lucha
character_actions_combat;87;Suppress;Reprimir
character_actions_combat;88;Swift;Rápido
character_actions_combat;89;Take;Llevar
character_actions_combat;90;Technology;Tecnología
character_actions_combat;91;Threaten;Amenazar
character_actions_combat;92;Trick;Truco
character_actions_combat;93;Truce;Tregua
character_actions_combat;94;Usurp;Usurpar
character_actions_combat;95;Vehicle;Vehículo
character_actions_combat;96;Vengeance;Venganza
character_actions_combat;97;Waste;Desperdiciar
character_actions_combat;98;Weapon;Arma
character_actions_combat;99;Withdraw;Retirar
character_actions_general;name;Character actions, General;Acciones de personajes, General
character_actions_general;0;Abandon;Abandonar
character_actions_general;1;Aggressive;Agresivo
character_actions_general;2;Amusing;Divertido
character_actions_general;3;Anger;Enojo
character_actions_general;4;Antagonize;Enemistarse
character_actions_general;5;Anxious;Ansioso
character_actions_general;6;Assist;Asistir
character_actions_general;7;Bestow;Otorgar
character_actions_general;8;Betray;Traicionar
character_actions_general;9;Bizarre;Extraño
character_actions_general;10;Block;Bloquear
character_actions_general;11;Bold;Atrevido
character_actions_general;12;Break;Romper
character_actions_general;13;Calm;Calma
character_actions_general;14;Care;Cuidado
character_actions_general;15;Careful;Cuidadoso
character_actions_general;16;Careless;Descuidado
character_actions_general;17;Celebrate;Celebrar
character_actions_general;18;Change;Cambiar
character_actions_general;19;Combative;Combativo
character_actions_general;20;Communicate;Comunicar
character_actions_general;21;Control;Control
character_actions_general;22;Crazy;Loco
character_actions_general;23;Creepy;Espeluznante
character_actions_general;24;Dangerous;Peligroso
character_actions_general;25;Deceive;Engañar
character_actions_general;26;Decrease;Disminuir
character_actions_general;27;Defiant;Desafiante
character_actions_general;28;Delay;Demora
character_actions_general;29;Disrupt;Interrumpir
character_actions_general;30;Dominate;Dominar
character_actions_general;31;Efficient;Eficiente
character_actions_general;32;Energetic;Energético
character_actions_general;33;Excited;Entusiasmado
character_actions_general;34;Expose;Exponer
character_actions_general;35;Fearful;Temeroso
character_actions_general;36;Feeble;Débil
character_actions_general;37;Fierce;Feroz
character_actions_general;38;Fight;Luchar
character_actions_general;39;Foolish;Necio
character_actions_general;40;Frantic;Frenético
character_actions_general;41;Frightening;Alarmante
character_actions_general;42;Generous;Generoso
character_actions_general;43;Gentle;Amable
character_actions_general;44;Harm;Dañar
character_actions_general;45;Harsh;Duro
character_actions_general;46;Hasty;Apresurado
character_actions_general;47;Helpful;Útil
character_actions_general;48;Imitate;Imitar
character_actions_general;49;Important;Importante
character_actions_general;50;Imprison;Encarcelar
character_actions_general;51;Increase;Aumentar
character_actions_general;52;Inspect;Inspeccionar
character_actions_general;53;Intense;Intenso
character_actions_general;54;Juvenile;Juvenil
character_actions_general;55;Kind;Amable
character_actions_general;56;Lazy;Perezoso
character_actions_general;57;Leadership;Liderazgo
character_actions_general;58;Lethal;Letal
character_actions_general;59;Loud;Alto
character_actions_general;60;Loyal;Leal
character_actions_general;61;Mature;Maduro
character_actions_general;62;Meaningful;Significativo
character_actions_general;63;Messy;Desordenado
character_actions_general;64;Move;Mover
character_actions_general;65;Mundane;Mundano
character_actions_general;66;Mysterious;Misterioso
character_actions_general;67;Nice;Lindo
character_actions_general;68;Normal;Normal
character_actions_general;69;Odd;Extraño
character_actions_general;70;Official;Oficial
character_actions_general;71;Open;Abierto
character_actions_general;72;Oppose;Oponerse a
character_actions_general;73;Passion;Pasión
character_actions_general;74;Peace;Paz
character_actions_general;75;Playful;Juguetón
character_actions_general;76;Pleasures;Placeres
character_actions_general;77;Possessions;Posesiones
character_actions_general;78;Punish;Castigar
character_actions_general;79;Pursue;Buscar
character_actions_general;80;Release;Liberar
character_actions_general;81;Return;Devolver
character_actions_general;82;Simple;Simple
character_actions_general;83;Slow;Lento
character_actions_general;84;Start;Comenzar
character_actions_general;85;Stop;Detener
character_actions_general;86;Strange;Extraño
character_actions_general;87;Struggle;Lucha
character_actions_general;88;Swift;Rápido
character_actions_general;89;Tactics;Táctica
character_actions_general;90;Take;Llevar
character_actions_general;91;Technology;Tecnología
character_actions_general;92;Threatening;Amenazante
character_actions_general;93;Trust;Confianza
character_actions_general;94;Violent;Violento
character_actions_general;95;Waste;Desperdiciar
character_actions_general;96;Weapons;Armas
character_actions_general;97;Wild;Salvaje
character_actions_general;98;Work;Trabajar
character_actions_general;99;Yield;Producir
character_appearance;name;Character appearance;Apariencia del personaje
character_appearance;0;Abnormal;Anormal
character_appearance;1;Armed;Armado
character_appearance;2;Aromatic;Aromático
character_appearance;3;Athletic;Atlético
character_appearance;4;Attractive;Atractivo
character_appearance;5;Average;Promedio
character_appearance;6;Bald;Calvo
character_appearance;7;Beautiful;Hermoso
character_appearance;8;Bizarre;Extraño
character_appearance;9;Brutish;Brutal
character_appearance;10;Casual;Casual
character_appearance;11;Classy;De buen tono
character_appearance;12;Clean;Limpio
character_appearance;13;Clothing;Ropa
character_appearance;14;Colorful;Vistoso
character_appearance;15;Common;Común
character_appearance;16;Cool;Fresco
character_appearance;17;Creepy;Espeluznante
character_appearance;18;Cute;Lindo
character_appearance;19;Dainty;Delicado
character_appearance;20;Delicate;Delicado
character_appearance;21;Desperate;Desesperado
character_appearance;22;Different;Diferente
character_appearance;23;Dirty;Sucio
character_appearance;24;Drab;Monótono
character_appearance;25;Elegant;Elegante
character_appearance;26;Equipment;Equipo
character_appearance;27;Exotic;Exótico
character_appearance;28;Expensive;Caro
character_appearance;29;Extravagant;Extravagante
character_appearance;30;Eyewear;Gafas
character_appearance;31;Familiar;Familiar
character_appearance;32;Fancy;Elegante
character_appearance;33;Features;Características
character_appearance;34;Feminine;Femenino
character_appearance;35;Festive;Festivo
character_appearance;36;Frail;Frágil
character_appearance;37;Hair;Cabello
character_appearance;38;Hairy;Peludo
character_appearance;39;Headwear;Sombreros
character_appearance;40;Heavy;Pesado
character_appearance;41;Hurt;Herir
character_appearance;42;Innocent;Inocente
character_appearance;43;Insignia;Insignias
character_appearance;44;Intense;Intenso
character_appearance;45;Interesting;Interesante
character_appearance;46;Intimidating;intimidante
character_appearance;47;Jewelry;Joyas
character_appearance;48;Large;Grande
character_appearance;49;Lavish;Prodigar
character_appearance;50;Lean;Inclinarse
character_appearance;51;Limbs;Extremidades
character_appearance;52;Lithe;Ágil
character_appearance;53;Masculine;Masculino
character_appearance;54;Mature;Maduro
character_appearance;55;Messy;Desordenado
character_appearance;56;Mighty;Poderoso
character_appearance;57;Modern;Moderno
character_appearance;58;Mundane;Mundano
character_appearance;59;Muscular;Muscular
character_appearance;60;Mysterious;Misterioso
character_appearance;61;Natural;Natural
character_appearance;62;Neat;Limpio
character_appearance;63;Normal;Normal
character_appearance;64;Odd;Extraño
character_appearance;65;Official;Oficial
character_appearance;66;Old;Viejo
character_appearance;67;Petite;Chiquita
